Date,usd_inr_rate,usd_inr_change_1d,usd_inr_change_5d,usd_inr_change_20d,usd_inr_momentum,usd_inr_volatility,inr_weakness_score
2023-03-09,81.9645004272461,-0.001341459991102134,-0.005525347217947396,-0.008407983278363118,-0.00110073773556727,0.002609172709570568,-0.002524409482495253
2023-03-10,82.01840209960938,0.0006576221666980686,-0.004095594378113465,-0.00623750207066287,-0.0008134223930668982,0.0026060433990559594,-0.0012096561646748815
2023-03-13,81.95800018310547,-0.0007364434682664012,0.003004419796752922,-0.006726216497903281,0.0006012843172466198,0.0026077184827670683,0.000787133846893302
2023-03-14,82.41739654541016,0.005605265639453627,0.006878016408141896,-0.0021792491293810556,0.0013750243504775828,0.0029162799938559844,0.004718018483367294
2023-03-15,82.30490112304688,-0.0013649475363044505,0.00280599482304833,-0.006790330210349804,0.000564007362095742,0.002816324300741351,0.00046502164102144136
2023-03-16,82.7156982421875,0.0049911622945331136,0.00916491665325525,-0.0002659389063456308,0.0018305318192227914,0.0030385609585197354,0.0052950994595566585
2023-03-17,82.622802734375,-0.0011230698620291468,0.007369085708736289,-0.0008766460639773044,0.0014743934134773483,0.0030469423672427037,0.002203815791852432
2023-03-20,82.53299713134766,-0.0010869348418990343,0.007015751323331099,-0.0027188440358700827,0.0014042951387508219,0.0030494516935823,0.0020912400018649625
2023-03-21,82.52909851074219,-4.7237114135900704e-05,0.0013553202359466443,-0.0020363810410000127,0.00027379458803291625,0.0030462096852293488,0.0004698396015395079
2023-03-22,82.677001953125,0.0017921368953710548,0.004521004521004457,-0.0022229520652424783,0.0009052114743680173,0.0030397687621857863,0.0023447195567601643
2023-03-23,82.52580261230469,-0.00182879564145344,-0.00229576288320521,-0.003736257744496152,-0.00045878011282929343,0.0030639795265880684,-0.0015578811553917272
2023-03-24,82.26529693603516,-0.0031566572880648014,-0.00432696285417955,-0.004267841597474509,-0.0008654975980364243,0.003088513765490869,-0.002820401050890713
2023-03-27,82.33879852294922,0.0008934701466063455,-0.002352981415292388,-0.00698522335011742,-0.0004694166003353484,0.0029675590764785273,-0.0004893313460457826
2023-03-28,82.21489715576172,-0.0015047750199193022,-0.0038071584525980473,-0.005288477825399207,-0.0007609241814920287,0.0029048902780191756,-0.0019723347981947434
