Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Diff,ADX,RSI_14,Stoch_K,Stoch_D,ROC_12,Williams_R,BB_High,BB_Mid,BB_Low,BB_Width,BB_Percent,ATR_14,StdDev_20,OBV,Volume_SMA_20,VWAP,Returns,Log_Returns,Volatility_20,Price_Change,HL_Range,Avg_Price
2023-05-04,899.4323120117188,901.5791732893766,889.7714660425504,897.773371044411,20485002.0,877.7100677490234,849.1345361328125,853.722502746582,887.9633572144746,872.7542707499049,15.209086464569737,13.5859993680075,1.6230870965622373,30.714302280736916,68.8326293927486,90.55314094928175,92.66134167245417,2.2633992452536895,-9.446859050718238,909.810643843411,877.7100677490234,845.6094916546359,7.314619547822371,0.8383466421104704,13.928950719903506,16.467248081151904,2554316768.0,26712283.75,518.2198830255296,-0.0012460449847655486,-0.0012468219443023305,0.008259770508816329,-1.12213134765625,11.807707246826226,896.927650447882
2023-05-05,904.555419921875,919.6809486172212,901.1399779584096,902.652518915828,19002035.0,879.8154449462891,850.2567517089843,854.5596905517579,890.5159822463824,875.10991142931,15.406070817072305,13.950013657820461,1.4560571592518432,31.872151832510244,70.87728666310028,74.1881632859735,86.08591347358195,3.356198494022348,-25.811836714026494,913.1360724934631,879.8154449462891,846.494817399115,7.574458425018481,0.8712411319468709,14.380356854589149,17.09312127064639,2573318803.0,26341538.85,518.5436954001257,0.005695934915544321,0.005679774415328269,0.008213171341493939,5.12310791015625,18.540970658811602,908.4587821658353
2023-05-08,915.2409057617188,918.9490880615252,904.6042195927596,904.6042195927596,18623913.0,882.416064453125,851.7253918457031,855.4828018188476,894.3198166333572,878.0825776761551,16.237238957202067,14.407458717696782,1.8297802395052845,32.947297844871194,74.61752874182658,92.42303105578242,85.72144509701259,5.1575293458536144,-7.576968944217581,918.1816728331785,882.416064453125,846.6504560730716,8.106291311053834,0.9588883398793265,14.381307660664941,18.34736997354508,2591942716.0,26219287.8,518.8641776801796,0.011812969779968485,0.011743741314957902,0.008465693096654918,10.68548583984375,14.34486846876564,912.9314044720012
2023-05-09,911.8255004882812,922.1693872512036,909.2882791362129,918.2660247654844,21507610.0,885.3143127441406,853.3316271972657,856.3927157592774,897.0129987648841,880.5820534400162,16.43094532486782,14.812156039130992,1.6187892857368293,34.104566084958506,71.45849408100474,83.06713480528245,83.22610971567947,4.47227245206269,-16.93286519471755,920.7470476017382,885.3143127441406,849.8815778865429,8.004554845107958,0.8741058635565074,14.274150550259643,18.17660945953414,2570435106.0,25992531.05,519.2350383381402,-0.0037317008581417843,-0.003738681024461814,0.007990473128982102,-3.4154052734375,12.881108114990752,914.4277222918992
2023-05-10,913.435546875,918.2659695728609,905.824002397458,912.0205661468576,25910923.0,888.6126525878906,854.9290771484375,857.3165002441406,899.5395446279788,883.0156455463114,16.523899081667423,15.154504647638278,1.3693944340291448,34.68576624241225,72.05902573242679,85.70276868724584,87.0643115161036,5.690729294117023,-14.297231312754167,921.5317345087719,888.6126525878906,855.6935706670092,7.40909592610722,0.8770289576539446,14.143280309198444,16.88713271067102,2596346029.0,25742766.95,519.6787385394139,0.0017657395914640883,0.0017641825059805261,0.007589761082349315,1.61004638671875,12.441967175402851,912.508506281773
2023-05-11,916.5094604492188,924.1210048601322,911.2886777477154,917.3389010960858,20027372.0,891.4084320068359,856.8797814941406,858.1547720336914,902.1503009081696,885.4966688724527,16.653632035716896,15.454330125254002,1.1993019104628946,35.54619284336854,73.2176577393393,87.92570631298797,85.56520326850546,3.8076779470649034,-12.074293687012036,923.828123395065,891.4084320068359,858.9887406186069,7.273813041064075,0.8871262706019547,14.049640795142611,16.6309507728022,2616373401.0,24768934.45,520.0251833579131,0.0033652221929998394,0.003359572504219612,0.007072177412324761,3.07391357421875,12.832327112416806,917.3063810190221
2023-05-12,921.095947265625,925.0968698193026,912.5085025133512,917.0461850344828,13873480.0,894.0310028076171,858.9124572753906,858.9740228271485,905.0650157323935,888.1336524571321,16.931363275261333,15.74973675525547,1.1816265200058638,36.397524331337465,74.8907175189893,92.26419405841315,88.63088968621567,3.3335097642169,-7.735805941586851,927.1392428122186,894.0310028076171,860.9227628030156,7.406508253210078,0.9087342675757799,13.945264117343237,16.98416876018039,2630246881.0,24328306.85,520.266184589897,0.0050042983889748704,0.004991818505847814,0.006937760336854136,4.58648681640625,12.588367305951351,919.5671065327597
2023-05-15,922.9012451171876,926.0727270591708,915.5336605179272,920.9495639221208,10453762.0,896.3120300292969,860.9822155761718,859.7904177856445,907.8090510223618,890.7090296912104,17.100021331151424,16.019793670434662,1.080227660716762,37.24284959867907,75.53845668271207,92.91938638264712,91.0364289180161,3.3662991641110875,-7.080613617352869,930.7493189674748,896.3120300292969,861.8747410911191,7.684218839961847,0.8860526758599363,13.701964290478982,17.665956477535993,2640700643.0,23129013.2,520.4484679550998,0.001959945494192983,0.0019580273069755415,0.006741696155263405,1.8052978515626137,10.539066541243642,921.5025442314285
2023-05-16,923.4866943359376,929.195397374275,920.2176522692876,927.0485362203852,19612293.0,898.510107421875,862.7377502441407,860.5956744384765,910.2209961475273,893.137004850079,17.08399129744828,16.232633195837387,0.8513581016108915,38.20497500940074,75.75687023816877,87.40572022827213,90.86310022311083,3.048940871927306,-12.594279771727871,933.9774625068266,898.510107421875,863.0427523369234,7.894703641502542,0.852106702829103,13.364520062943871,18.19436926143882,2660312936.0,22611752.15,520.7923853667451,0.0006343573831408822,0.0006341562635460813,0.006755425430978751,0.58544921875,8.977745104987434,924.2999146598335
2023-05-17,916.6558837890624,925.487289252936,913.1916614199988,924.4138288097396,19273344.0,900.583773803711,864.3869213867188,861.2986334228516,911.2109788616096,894.8791440307444,16.331834830865205,16.25247352284295,0.0793613080222535,37.97851120194873,68.11489669374666,70.56135400033199,83.62882020375044,2.3647335894435546,-29.438645999668015,935.1923250304883,900.583773803711,865.9752225769337,7.6858038604458585,0.7321985378705494,13.288170617943392,17.753812177851817,2641039592.0,22240450.4,521.1248930646493,-0.007396761197287383,-0.007424252885588275,0.006917662271564943,-6.830810546875227,12.295627832937157,918.4449448206657
